,county_name,Net Loss
0,andrews,935
1,angelina,200
2,archer,201
3,atascosa,792
4,bastrop,0
5,bexar,105
6,borden,387
7,brazoria,25
8,brazos,126
9,brooks,11
10,caldwell,18
11,callahan,175
12,carson,57
13,chambers,5
14,cherokee,101
15,clay,125
16,cochran,104
17,coke,10
18,coleman,155
19,collin,641
20,colorado,15
21,concho,246
22,cooke,142
23,crane,682
24,crockett,636
25,culberson,157
26,dawson,179
27,denton,252
28,dickens,158
29,dimmit,25
30,duval,219
31,eastland,0
32,ector,585
33,erath,9
34,fort bend,130
35,freestone,2
36,frio,494
37,gaines,71
38,galveston,3
39,garza,966
40,glasscock,574
41,goliad,40
42,gonzales,553
43,gray,393
44,grayson,319
45,guadalupe,206
46,hansford,141
47,hardeman,40
48,harris,3
49,harrison,419
50,hemphill,196
51,henderson,46
52,hidalgo,15
53,hockley,111
54,hood,451
55,hopkins,4
56,houston,0
57,howard,1163
58,hudspeth,27
59,hutchinson,777
60,irion,238
61,jack,60
62,jackson,12
63,jefferson,0
64,jim hogg,150
65,johnson,136
66,jones,150
67,karnes,676
68,kaufman,0
69,kent,80
70,king,72
71,kleberg,1
72,knox,3
73,la salle,1647
74,lavaca,108
75,limestone,10
76,lipscomb,162
77,live oak,339
78,loving,2778
79,lubbock,40
80,lynn,273
81,madison,8
82,martin,1314
83,mason,0
84,matagorda,2
85,mcmullen,414
86,menard,25
87,midland,2441
88,mitchell,51
89,montague,7
90,moore,24
91,nacogdoches,82
92,nolan,252
93,nueces,267
94,ochiltree,171
95,palo pinto,47
96,panola,541
97,parker,10
98,pecos,59
99,potter,210
100,reagan,2237
101,reeves,6092
102,refugio,65
103,roberts,344
104,runnels,23
105,rusk,201
106,san patricio,270
107,schleicher,25
108,scurry,115
109,shackelford,176
110,shelby,78
111,smith,472
112,starr,205
113,stephens,41
114,sterling,16
115,stonewall,15
116,sutton,10
117,taylor,128
118,terry,18
119,titus,10
120,upshur,372
121,upton,2031
122,victoria,220
123,ward,623
124,webb,1426
125,wharton,20
126,wheeler,928
127,wichita,265
128,wilbarger,560
129,willacy,7
130,wilson,39
131,winkler,362
132,wise,333
133,wood,25
134,yoakum,215
135,young,245
136,zapata,136
137,zavala,327
